"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"1","(Intercept)",-1.30248897644715,-3.80360675408065,0.941546135756653,1220,0.157377049180328,"fixed"
"2","Month",-0.20877335043303,-0.362954098905902,-0.050390987578794,1220,0.0114754098360656,"fixed"
"3","Month.sq",0.0153508164579574,0.00509305200830568,0.0287352757586632,1333.20359979871,0.0114754098360657,"fixed"
"4","Two.way",0.000140934475433604,0.000114057271275669,0.000167701204190962,1220,0.000819672131147541,"fixed"
"5","Location2Stewart Creek",0.563378473490374,-4.25552083246293,5.69485282157257,1220,0.644262295081967,"fixed"
"6","Location2Wind Valley",0.166506936441677,-9.87356763942807,7.45324305363465,1220,0.89344262295082,"fixed"
"7","Underpass.typeUnderpass",1.8248296086741,-3.96265523892362,8.98469126666896,1220,0.349180327868853,"fixed"
"8","Human.total.x",-0.100421384159655,-0.131285222887527,-0.0666539137600921,1346.60205265019,0.000819672131147541,"fixed"
"9","Agecentred",0.0258709889708876,-0.00773590958851855,0.0686100571110728,1397.9359035805,0.181967213114754,"fixed"
"10","Location",8.55359068318967,0.0570041255400499,22.4575054785686,1220,NA,"random"
"11","units",0.935121446314756,0.703408830241782,1.18870537935795,1220,NA,"residual"
